time_sec	pmask_cmH20
33.0852	4.62042141
33.0892	4.621016502
33.0932	4.634408951
33.0972	4.616701126
33.1012	4.610599995
33.1052	4.62808466
33.1092	4.61997509
33.1132	4.610376835
33.1172	4.632995129
33.1212	4.628605366
33.1252	4.611120701
33.1292	4.625034332
33.1332	4.62362051
33.1372	4.60390377
33.1412	4.614915371
33.1452	4.628456593
33.1492	4.610599995
33.1532	4.614617825
33.1572	4.63120985
33.1612	4.615361691
33.1652	4.609781742
33.1692	4.624885559
33.1732	4.61238575
33.1772	4.596538067
33.1812	4.61193943
33.1852	4.602489948
33.1892	4.58507967
33.1932	4.596612453
33.1972	4.59609127
33.2012	4.573919296
33.2052	4.58143425
33.2092	4.590734482
33.2132	4.571092129
33.2172	4.576672554
33.2212	4.589543819
33.2252	4.5691576
33.2292	4.565065384
33.2332	4.579053402
33.2372	4.5691576
33.2412	4.55092907
33.2452	4.567520618
33.2492	4.559782982
33.2532	4.543414116
33.2572	4.559485435
33.2612	4.559708595
33.2652	4.539396763
33.2692	4.55070591
33.2732	4.557402134
33.2772	4.535825253
33.2812	4.539396763
33.2852	4.550185204
33.2892	4.535081387
33.2932	4.531286716
33.2972	4.551375389
33.3012	4.540735722
33.3052	4.532402515
33.3092	4.550557137
33.3132	4.54244709
33.3172	4.525483131
33.3212	4.537685394
33.3252	4.54289341
33.3292	4.522358418
33.3332	4.533518791
33.3372	4.544307232
33.3412	4.525855064
33.3452	4.537908554
33.3492	4.552193642
33.3532	4.534262657
33.3572	4.52764082
33.3612	4.546539307
33.3652	4.532551289
33.3692	4.526003838
33.3732	4.540810108
33.3772	4.529575348
33.3812	4.507849693
33.3852	4.51893568
33.3892	4.519084454
33.3932	4.499590874
33.3972	4.506212711
33.4012	4.508221626
33.4052	4.483073711
33.4092	4.4884305
33.4132	4.504353046
33.4172	4.486049652
33.4212	4.479130268
33.4252	4.491555691
33.4292	4.471838951
33.4332	4.462017536
33.4372	4.481511116
33.4412	4.475707531
33.4452	4.456437588
33.4492	4.470871449
33.4532	4.470276356
33.4572	4.451973438
33.4612	4.468490601
33.4652	4.478163242
33.4692	4.459711075
33.4732	4.463059425
33.4772	4.476600647
