time_sec	pepi_cmH20
75.65716	-2.133575439
75.66116	-1.904739857
75.66516	-1.925543189
75.66916	-2.091969013
75.67316	-2.154378653
75.67716	-0.365300924
75.68116	-2.695262671
75.68516	-2.258394718
75.68916	-2.591246367
75.69316	-2.653656244
75.69716	-2.508033514
75.70116	-2.591246367
75.70516	-2.632853031
75.70916	-2.75767231
75.71316	-2.612049818
75.71716	-3.194540024
75.72116	-1.155823588
75.72516	-3.152933598
75.72916	-2.778475523
75.73316	-3.860243559
75.73716	-3.506588459
75.74116	-3.215343475
75.74516	-3.152933598
75.74916	-3.714620829
75.75316	-3.797833681
75.75716	-3.506588459
75.76116	-3.007311106
75.76516	-3.714620829
75.76916	-3.548195124
75.77316	-4.983617783
75.77716	-2.258394718
75.78116	-3.048917532
75.78516	-4.942011356
75.78916	-3.922653198
75.79316	-4.213898182
75.79716	-2.383214235
75.80116	-4.401127338
75.80516	-4.484340191
75.80916	-4.484340191
75.81316	-4.692372799
75.81716	-0.365300924
75.82116	-4.193095207
75.82516	-3.464982033
75.82916	-4.837995052
75.83316	-4.047472477
75.83716	-0.698152602
75.84116	-4.650766373
75.84516	-4.505143642
75.84916	-3.985062838
75.85316	-4.42193079
75.85716	-4.546750069
75.86116	-0.011646027
75.86516	-2.674459457
75.86916	-4.775585651
75.87316	-4.837995052
75.87716	-4.026669502
75.88116	-4.442733765
75.88516	0.799679935
75.88916	1.38217032
75.89316	-4.90040493
75.89716	-5.628518105
75.90116	-0.40690738
75.90516	-6.106992245
75.90916	2.193496227
75.91316	-0.677349389
75.91716	-5.919763088
75.92116	-5.233256817
75.92516	0.612450838
75.92916	-2.840885162
75.93316	-5.025224209
75.93716	-4.962814808
75.94116	-1.696707606
75.94516	-4.817192078
75.94916	-4.047472477
75.95316	-3.506588459
75.95716	-4.27630806
75.96116	-1.759117246
75.96516	-6.460647106
75.96916	-3.132130384
75.97316	-3.568998337
75.97716	-2.840885162
75.98116	-3.485785246
75.98516	-4.796388626
75.98916	-5.04602766
75.99316	0.570844412
75.99716	-4.130685329
76.00116	-4.629962921
76.00516	-5.004421234
76.00916	4.315425873
76.01316	-4.068275928
76.01716	-3.340162754
76.02116	-3.943456411
76.02516	-4.151488781
76.02916	-3.735424042
