x0000,y0000
15.706969,0.2564189978,
15.747394,0.2449268298,
15.787969,0.1735796204,
15.828453,0.1948880151,
15.869048,0.1920149731,
15.909639,0.1855506287,
15.950181,0.2906560815,
15.990686,0.2873041992,
16.031271,0.227927998,
16.071675,0.2384624854,
16.112408,0.1719036792,
16.153222,0.1453280408,
16.194004,0.1771709229,
16.234549,0.17310078,
16.277508,0.1462857214,
16.318703,0.1460463013,
16.359334,0.1180341418,
16.399902,0.1027112512,
16.440257,0.07086836914,
16.480811,0.0964863269,
16.522026,0.05602431885,
16.562496,-0.004548983154,
16.603179,-0.03136404175,
16.643689,0.0253785376,
16.684136,0.09050082275,
16.724546,0.1086967554,
16.764956,0.08092401611,
16.805203,0.05578489868,
16.845724,0.06991068848,
16.886332,0.03064578125,
16.926755,0.06248866333,
16.967235,0.01675941162,
17.0077,-0.003351882324,
17.048214,-0.004309562988,
17.088676,0.004309562988,
17.129226,-0.00598550415,
17.169763,0.03950432739,
17.210259,0.02801215942,
17.250715,0.01628057129,
17.291257,-0.006703764648,
17.331641,-0.0493205542,
17.37229,-0.0739808313,
17.412678,-0.07613561279,
17.453376,-0.1079784949,
17.496029,-0.2018312,
17.536936,-0.2415749475,
17.577277,-0.3251325854,
17.617739,-0.3608061902,
17.658154,-0.3888183496,
17.698677,-0.4532223743,
17.739054,-0.3517082239,
17.779563,-0.3586514087,
17.820156,-0.3909731311,
17.860772,-0.5082890125,
17.901282,-0.5841852051,
17.941825,-0.6212953308,
17.982394,-0.6579266162,
18.023013,-0.7201758594,
18.063874,-0.7893682874,
18.104494,-0.7872135059,
18.144795,-0.7508216406,
18.18538,-0.7733271362,
18.225931,-0.803254657,
18.266657,-0.6950367419,
18.307092,-0.7776366992,
18.347588,-0.7079654309,
18.388208,-0.729752666,
18.428765,-0.7158662964,
18.469451,-0.5650315918,
18.512522,-0.6375759021,
18.553604,-0.6220135913,
18.594153,-0.5755660791,
18.634969,-0.5171475586,
18.675553,-0.5027823486,
18.716038,-0.4146757275,
18.756524,-0.431195719,
18.797048,-0.3890577698,
18.83766,-0.4058171814,
18.87813,-0.3232172241,
18.918752,-0.2935291235,
18.959378,-0.2214636536,
19.000058,-0.240856687,
19.040648,-0.3155557788,
19.081305,-0.2578555188,
19.121711,-0.2312798804,
19.162375,-0.2161964099,
19.203001,-0.1458068811,
19.243725,-0.1549048474,
19.284275,-0.1534683264,
19.324791,-0.09696516724,
19.365897,-0.1089361755,
19.406226,-0.1288080493,
19.446662,-0.09313444458,
19.487226,-0.03639186523,
19.527747,-0.06823474731,
19.568383,-0.04333505005,
19.608925,-0.04141968872,
19.649337,-0.08140285645,
19.689757,-0.06871358765,
19.730211,-0.06655880615,
19.770775,-0.06967126831,
19.811213,-0.03687070557,
19.852564,-0.04716577271,
19.892927,-0.03830722656,
19.935953,-0.09481038574,
19.976849,-0.06536170532,
20.017208,0.00239420166,
20.057613,0.06009446167,
20.098104,0.04572925171,
20.138666,0.05722141968,
20.179119,0.06991068848,
20.219758,0.1086967554,
20.260257,0.1800439648,
20.300867,0.1635239734,
20.34151,0.05817910034,
20.382047,0.02106897461,
20.422443,0.1194706628,
20.463223,0.2238578552,
20.503932,0.2846705774,
20.544344,0.2741360901,
20.584859,0.2937685437,
20.6253,0.3536235852,
20.665847,0.2849099976,
20.706193,0.3675099548,
20.746688,0.5207388611,
20.787212,0.4687846851,
20.827638,0.4213794922,
20.868242,0.5659892725,
20.908818,0.5420472559,
20.951784,0.6730100867,
20.99275,0.6217741711,
21.033623,0.686417616,
21.073931,0.6509834314,
21.114536,0.4742913489,
21.154966,0.4331110803,
21.195609,0.4458003491,
21.236303,0.2734178296,
21.277004,0.4333505005,
21.317535,0.3387795349,
21.358123,0.3272873669,
21.398679,0.2631227625,
21.439265,0.2571372583,
